company_permalink,company_name,homepage_url,company_category_list,funding_total_usd,status,company_country_code,company_city,funding_rounds,founded_at,first_funding_at,last_funding_at,time_before_first_fund,employee_count,number_of_technologies,annual_rev
/organization/medfusion,Medfusion,http://www.medfusion.com/,Billing|Curated Web|Health and Wellness|Health Care|Medical|Portals|SaaS|Services|Software,3000000.0,acquired,USA,Cary,1,2011-12-03 20:46:43.240577680,2015-08-28,2015-08-28,1363 days 03:13:16.759422320,39,13,16000000.0
/organization/medgenesis-therapeutix,MedGenesis Therapeutix,http://www.medgenesis.com,Biotechnology,5000000.0,operating,CAN,Victoria,1,2008-04-16 20:46:43.240577680,2012-01-10,2012-01-10,1363 days 03:13:16.759422320,3,6,7572000.0
/organization/medgenics,Medgenics,http://www.medgenics.com,Biotechnology,45626066.0,ipo,ISR,Misgav,7,2000-01-01 00:00:00.000000000,2001-06-22,2015-06-14,538 days 00:00:00,0,5,18400000.0
/organization/medgenome-labs,Medgenome Labs,http://medgenome.com,Health Care|Hospitals|Medical,24000000.0,operating,IND,Bangalore,2,2013-01-01 00:00:00.000000000,2014-06-04,2015-07-22,519 days 00:00:00,570,8,20300000.0
/organization/medgrc,MedGRC,http://www.medgrc.com,Dental|Medical|Software,90000.0,closed,USA,Plano,2,2013-01-01 00:00:00.000000000,2013-01-01,2013-01-01,0 days 00:00:00,46,4,3355000.0
/organization/medhab,MedHab,http://medhab.com,Biotechnology|Medical,1076521.0,operating,USA,Fort Worth,5,2007-01-01 00:00:00.000000000,2010-10-21,2015-05-08,1389 days 00:00:00,5,10,6000000.0
/organization/medhok,MedHOK,http://medhok.com,Software,77500000.0,operating,USA,Tampa,1,2010-04-15 20:46:43.240577680,2014-01-08,2014-01-08,1363 days 03:13:16.759422320,270,4,31720000.0
/organization/media-armor,Media Armor,http://mediaarmor.com,Advertising|Analytics|Displays|Mobile,1780000.0,acquired,USA,Boston,2,2010-05-05 00:00:00.000000000,2011-05-01,2012-02-10,361 days 00:00:00,3,3,6000000.0
/organization/media-battles,Media Battles,http://mediaxus.com/,Media|News,0.0,operating,USA,Boone,1,2012-04-04 00:00:00.000000000,2013-10-21,2013-10-21,565 days 00:00:00,0,1,
/organization/media-chaperone,Media Chaperone,http://mediachaperone.com,Curated Web,1050000.0,closed,USA,Chicago,2,2009-01-01 00:00:00.000000000,2010-01-14,2011-02-24,378 days 00:00:00,0,1,
/organization/media-coin,Media Coin,http://mediacoin.io,Digital Media,100000.0,operating,CAN,Toronto,1,2013-05-23 00:00:00.000000000,2013-11-10,2013-11-10,171 days 00:00:00,1,4,
/organization/media-convergence-group,Media Convergence Group,http://www.mediaconvergencegroup.com,News,4750000.0,operating,USA,Columbia,3,2006-09-01 20:46:43.240577680,2010-05-27,2012-04-26,1363 days 03:13:16.759422320,0,19,
/organization/media-group-of-america,Media Group of America,http://mgofa.com,Media,1500000.0,operating,USA,Washington,1,2013-01-01 00:00:00.000000000,2015-01-07,2015-01-07,736 days 00:00:00,0,2,2000000.0
/organization/media-ingenuity,Media Ingenuity,http://www.mediaingenuity.com,Advertising,28587030.0,operating,GBR,London,1,2006-01-01 00:00:00.000000000,2011-04-11,2011-04-11,1926 days 00:00:00,0,3,7000000.0
/organization/media-lantern,Media Lantern,http://www.medialantern.com,Advertising,250000.0,operating,USA,New London,1,2008-03-30 00:00:00.000000000,2008-03-30,2008-03-30,0 days 00:00:00,1,5,4359000.0
/organization/media-light-entertainment,Media Li²ght Entertainment,http://www.media-li2ght.com,Internet of Things|Real Estate|Wireless,344033.0,operating,USA,Lewes,2,2012-07-31 00:00:00.000000000,2012-11-01,2013-12-01,93 days 00:00:00,0,0,
/organization/media-matchmaker,Media Matchmaker,http://www.mediamatchmaker.com,Advertising,0.0,operating,ITA,missing,1,2001-09-06 20:46:43.240577680,2005-06-01,2005-06-01,1363 days 03:13:16.759422320,72,1,9429000.0
/organization/media-predict,Media Predict,http://mediapredict.com/,Market Research,3000000.0,operating,missing,missing,1,2011-01-21 20:46:43.240577680,2014-10-16,2014-10-16,1363 days 03:13:16.759422320,0,14,6000000.0
/organization/media-publisher,Media Publisher,http://www.media-publisher.com/,Software,1300000.0,closed,USA,Berkeley,1,1999-11-04 20:46:43.240577680,2003-07-30,2003-07-30,1363 days 03:13:16.759422320,0,4,
/organization/media-retrievers,Media Retrievers,http://www.mediaretrievers.com,Advertising,1250000.0,operating,USA,New York,1,2012-08-01 00:00:00.000000000,2013-01-01,2013-01-01,153 days 00:00:00,0,0,
/organization/media-temple,Media Temple,http://www.mediatemple.net,Cloud Computing|Cloud Management|Web Hosting,16086016.0,acquired,USA,Culver City,2,1998-01-01 00:00:00.000000000,2010-04-21,2012-12-18,4493 days 00:00:00,110,27,63654000.0
/organization/media-time-conseil,Media Time Conseil,http://www.mediatime.fr,Software,1150000.0,operating,FRA,Toulouse,1,2002-01-01 00:00:00.000000000,2007-07-17,2007-07-17,2023 days 00:00:00,4,2,234000.0
/organization/media1st,Media1st,http://www.media1st.com/,Corporate Training|Services,3000000.0,closed,USA,missing,1,1998-03-18 20:46:43.240577680,2001-12-11,2001-12-11,1363 days 03:13:16.759422320,0,3,7500000.0
/organization/media360,Media360,http://media360.co/,Advertising,0.0,operating,USA,Scottsdale,1,2014-04-01 00:00:00.000000000,2014-10-25,2014-10-25,207 days 00:00:00,6,1,
/organization/media4care,Media4Care,http://www.media4care.com/,missing,0.0,operating,DEU,missing,2,2010-07-07 20:46:43.240577680,2014-04-01,2015-09-29,1363 days 03:13:16.759422320,0,21,
/organization/media6degrees,Dstillery,http://dstillery.com,Advertising,52000000.0,operating,USA,New York,4,2008-01-01 00:00:00.000000000,2008-05-01,2014-08-13,121 days 00:00:00,120,18,56455000.0
