index,employee_count,country,number_of_technologies,annual_rev
31778,76,United States,21,7079000
31779,660,United States,61,
31780,29,United States,16,34100000
31781,15000,United States,22,800000000
31782,0,United States,0,
31783,3,Germany,0,
31784,4,Argentina,13,
31786,30,United States,20,
31787,20,India,4,1600000
31788,520,United States,29,22000000
31790,330,United States,7,10000000
31791,0,United States,1,7000000
31792,27,United Kingdom,9,2500000
31793,0,Canada,2,
31794,1,United States,2,7000000
31797,0,United States,3,1400000
31798,24,United States,5,1000000
31799,5,United States,12,3197000
31800,12000,United States,14,31000000000
31801,15,United Kingdom,15,
31802,2,United States,15,10000000
31804,7,India,6,
31805,3,Mexico,10,
31806,0,United States,1,2400000
31808,11,United Kingdom,4,2400000
31809,36,France,8,1227000
31810,28,United States,0,8000000
31811,0,Russia,11,
31812,0,Brazil,0,
31813,3,Denmark,6,2250000
31814,0,United States,0,2000000
31815,20,United States,27,12400000
31816,98,United States,18,7000000
31817,0,,7,
31818,10,United Kingdom,10,3000000
31819,710,Indonesia,8,1500000
31820,0,United States,0,
31822,6,United States,9,6000000
31823,0,Germany,4,
31824,3,United States,0,3890000
31825,0,Japan,2,
31826,0,United States,7,7000000
31827,18,United States,11,19600000
31828,2,United States,4,6585000
31829,0,United States,0,
31831,35,United States,9,1300000
31832,820,United Kingdom,15,561790000
31833,0,United States,1,2000000
31834,4,Netherlands,13,91000
31835,0,Germany,2,
31836,0,United States,1,
31837,0,Canada,2,
31838,0,United States,0,
31839,2,Singapore,0,
31840,0,,3,
31841,0,United States,1,2400000
31842,150,Singapore,19,20000000
31844,0,United States,0,1400000
31845,0,United States,3,6000000
31846,3,United States,4,408000
31847,92,India,13,7000000
31848,0,,14,
31849,0,United States,3,
31850,710,United States,21,15000000
31851,110,United States,5,32000000
31852,19,United States,1,1400000
31854,1600,Belgium,27,277139000
31855,93,United States,6,17562000
31856,0,United States,2,
31857,16,United States,15,2463000
31858,9,United States,11,10000000
31859,120,United States,12,66000
31861,800,Sweden,21,195327000
31862,0,United States,8,
31863,0,United States,5,15400000
31864,0,United States,4,
31866,27,United States,4,2000000
31867,170,Australia,24,10000000
31868,33,United States,7,95000
31869,10,United States,1,25000000
31870,4,United Arab Emirates,6,
31871,47,United States,1,3509000
31872,58,Israel,9,74000000
31873,58,Israel,9,74000000
31875,1800,India,27,50000000
31876,0,Spain,0,
31877,43,Canada,0,16953000
31878,4,United States,7,8511000
31879,9,United States,9,
31880,0,United States,1,2400000
31881,0,United Kingdom,4,2000000
31882,310,United States,15,26000000
31885,7,United States,1,149000
31887,4,Canada,14,5000000
31888,3,United States,3,326000
31889,52,United States,4,3000000
31890,7,United States,18,1600000
31891,86,United States,14,6300000
31892,690,United States,23,118012000
31893,83,United States,5,50432000
31894,45,United States,14,830000
31895,65,United States,5,4234000
31896,0,United States,2,
31897,14,United States,4,
31898,88,United States,10,11077000
31899,3,United States,13,6539000
31900,2,United States,2,22845000
31901,550,United States,17,8300000
31902,12,Canada,4,2000000
31903,63,United States,11,1890000
31904,17,Hungary,14,3249000
31905,3,Ireland,12,7000000
31906,5800,United States,23,415000000
31907,42,United States,10,431000
31908,0,United States,2,
31909,18,United States,30,12000000
31910,34,United States,20,7000000
31911,6,United States,7,6186000
31912,2,United States,9,4420000
31913,10,United States,7,3500000
31914,1,United States,8,6000000
31915,2,United States,5,2974000
31916,660,Jordan,15,
31917,51,United States,2,16702000
31918,1,United States,3,
31920,12,United States,7,3000000
31921,15,United States,1,7000000
31922,45,United States,3,28662000
31923,3,Bulgaria,21,
31925,97,United States,13,32256000
31926,29,United Kingdom,10,15000000
31927,6,United States,8,1360000
31928,54,United States,6,8083000
31929,110,Russia,7,
31930,2,United States,9,4200000
31931,16000,United States,17,4459807000
31932,3,United States,1,29297000
31933,1300,United States,14,118600000
31934,4,Germany,0,
31935,380,Brazil,30,361000
31936,0,Canada,3,
31937,0,Brazil,1,
31938,150,United States,26,5000000
31939,11,Canada,12,4118000
31940,24,China,2,23572000
31941,21,United States,12,4500000
31942,32,United States,12,4543000
31944,0,Latvia,0,
31945,21,Argentina,10,
31946,63,United States,29,15000000
31947,260,United States,16,77500000
31948,61,United States,3,23289000
31949,0,United States,4,
31950,35,United States,2,39579000
31951,0,United States,6,
31953,0,Costa Rica,1,
31954,0,United States,1,2400000
31955,26,United States,3,2673000
31956,0,,4,
31957,5,China,0,
31958,220,Russia,6,600000000
31959,750,Australia,16,313833000
31960,39000,United States,27,14000000000
31961,0,Japan,3,
31962,2,Mexico,5,3801000
31963,1,United States,2,8609000
31964,0,Denmark,6,
31965,26,United Kingdom,14,7500000
31966,350,India,7,74100000
31967,240,United States,21,120000000
31969,34,Israel,20,1207000
31970,140,Egypt,9,1504000
31971,33,United Arab Emirates,3,
31972,1,United Kingdom,4,
31973,4,United States,12,4018000
31974,0,United States,1,35000000
31975,0,Brazil,4,
31976,42,United States,5,52000000
31977,62,China,0,
31979,2,Australia,4,
31980,6,United States,10,1000000
31981,45,United States,9,3000000
31982,0,,8,
31983,220,United States,12,125977000
31984,2,United States,4,6013000
31985,3,Netherlands,4,
31986,69,Germany,1,1555000
31987,16,Serbia,16,10509000
31988,12,United States,14,10000000
31989,0,United States,0,
31990,25,United States,0,25000000
31991,80,United Kingdom,2,9879000
31992,6500,United States,35,1920000000
31993,0,,6,
31994,19,Norway,4,2400000
31995,0,,7,
31996,0,United States,7,
31997,5800,United States,28,1450000000
31998,3,,10,6000000
31999,0,United States,1,
32000,200,United States,9,342029000
32001,4,United States,13,13000000
32002,10,United Kingdom,3,10000000
32003,0,United States,0,
32004,1400,United States,13,341000000
32005,5,Australia,11,
32006,2,Australia,3,7000000
32008,150,France,10,16826000
32009,58,Turkey,12,
32011,0,China,15,
32012,11,United States,7,3000000
32013,64,United States,0,11326000
32014,1,United States,11,
32015,25,United States,6,11174000
32016,34,United States,18,7500000
32017,23,United States,15,6000000
32018,70,United States,7,18938000
32019,0,Russia,1,
32020,68,United States,1,46263000
32021,310,United States,11,4529000
32022,0,United States,10,
32024,0,Switzerland,4,
32025,33,China,4,
32026,2,United States,3,32742000
32027,0,United States,3,
32028,60,United States,5,15802000
32029,0,United States,7,9000000
32030,77,United States,12,1643000
32031,57,Canada,4,10285000
32032,40,United States,2,10393000
32033,0,Germany,1,4200000
32034,460,United States,26,140000000
32035,34,Nigeria,14,3489000
32036,1,United States,1,6000000
32037,5,United Kingdom,6,216000
32038,3,United States,4,4660000
32039,55,United States,21,50000000
32040,0,United States,2,
32041,55,Kenya,22,7000000
32042,750,United States,26,30000000
32043,180,United States,14,30000000
32044,36,United States,2,3842000
32045,42,United States,3,4543000
32046,9,Denmark,26,5000000
32047,0,United States,6,4200000
32048,17,United States,25,17600000
32049,18,United States,10,8500000
32050,14,Turkey,11,10200000
32051,0,India,0,
32052,40,Canada,11,4158000
32053,3,United States,14,2500000
32054,41,United States,23,6300000
32055,7,United States,9,6000000
32056,110,India,1,3063000
32057,1,India,6,1400000
32058,1,United States,5,
32059,2,United Kingdom,1,
32060,0,United States,9,
32061,0,United States,1,2400000
32062,17,United States,4,246000
32063,190,United States,22,15900000
32064,1,United States,14,3328000
32065,6,United States,25,3200000
32066,8,United States,4,
32067,55,Norway,10,3000000
32068,0,Australia,4,
32069,3,Russia,0,
32070,0,United States,4,2000000
32072,0,Singapore,21,
32073,13,India,11,1000000
32074,21,United States,8,10000000
32075,44,Germany,10,9000000
32076,0,United Kingdom,5,
32077,0,United States,10,2400000
32078,84,China,1,87423000
32079,120,United States,1,11174000
32080,17,United States,15,6000000
32081,0,United Kingdom,0,
32082,120,United States,11,5000000
32083,16,United States,6,27153000
32084,17,United States,16,2929000
32085,490,Brazil,11,940000
32086,0,Germany,1,
32087,3,United States,9,2876000
32088,0,,10,
32089,13,United States,0,23752000
32090,2600,United States,46,477200000
32091,51,United States,2,3222000
32092,31,United States,4,1347000
32093,51,United States,10,2916000
32094,4,United States,0,377000
32095,12,United Kingdom,5,382000
32096,31,United States,17,10000000
32097,9,United States,5,10000000
32099,230,Canada,14,22129000
32101,24,Israel,23,4000000
32102,12,United States,15,5000000
32103,3,United States,18,5000000
32104,0,United States,2,
32105,59,United States,3,12413000
32106,0,Poland,1,
32107,5,United States,3,7000000
32108,11,United States,19,10700000
32109,1,United States,4,3070000
32110,31,United States,4,5608000
32111,18,United States,13,15000000
32112,15,Canada,7,4100000
32113,9,United Kingdom,4,255000
32114,36,France,2,10000000
32115,7,United States,3,293000
32116,0,United States,0,1400000
32117,4,United States,5,8244000
32118,500,United States,15,100000000
32119,0,United States,0,
32120,74,United Kingdom,7,5000000
32121,6,United States,0,6000
32122,40,United States,17,2400000
32123,7,United States,11,3630000
32124,280,India,16,1100000
32125,98,United States,3,1000000
32126,0,Chile,5,
32127,2400,United States,9,100000000
32128,39,United States,13,16000000
32129,3,Canada,6,7572000
32130,0,United States,5,18400000
32131,570,United States,8,20300000
32132,46,United States,4,3355000
32133,5,United States,10,6000000
32134,270,United States,4,31720000
32135,3,United States,3,6000000
32136,0,United States,1,
32137,0,United States,1,
32138,1,Canada,4,
32139,0,United States,19,
32140,0,United States,2,2000000
32141,0,United Kingdom,3,7000000
32142,1,United States,5,4359000
32143,0,United States,0,
32144,72,Italy,1,9429000
32145,0,,14,6000000
32146,0,United States,4,
32148,0,United States,0,
32149,110,United States,27,63654000
32150,4,France,2,234000
32151,0,United States,3,7500000
32152,6,United States,1,
32153,0,Germany,21,
32154,120,United States,18,56455000
32155,1300,United States,31,28691000
32156,44,United States,28,10000000
32157,13,France,2,248000
32158,6,Mexico,8,
32159,2,Netherlands,19,
32160,2,Netherlands,4,557000
32161,2,Canada,2,15500000
32162,4,United States,19,17300000
32163,9,United States,4,84000
32164,180,United States,20,16000000
32165,5,United Kingdom,2,5000000
32166,15,United States,9,4500000
32167,33,Germany,5,6000000
32168,69,Germany,0,2961000
32169,660,United States,61,
32170,22,United States,0,3740000
32171,34,United States,5,2960000
32172,280,United States,15,76200000
32173,280,United States,15,76200000
32174,22,France,0,7000000
32175,0,Brazil,1,
32176,0,United States,0,
32177,430,United States,15,810000000
32178,140,France,17,11600000
32179,0,Brazil,0,
32180,230,United States,8,170000000
32182,190,France,14,9358000
32183,79,United States,5,15333000
32184,5,Australia,5,
32185,1,India,3,1200000
32186,95,United States,7,10000000
32187,0,Portugal,7,
32188,9,United States,10,32099000
32189,0,United States,9,2000000
32190,37,United States,22,52000000
32191,37,,0,
32192,2,Brazil,7,
32193,0,British Virgin Islands,2,
32194,3,United States,7,792000
32195,1,Canada,2,1400000
32196,32,China,3,
32197,2,United States,16,4000000
32199,33,United States,11,2901000
32200,2,United States,14,42070000
32201,18,France,8,3161000
32202,75,Chile,13,6000000
32203,20,United Kingdom,1,35000000
32205,320,United Kingdom,13,83427000
32206,31,United States,3,3646000
32207,68,United States,16,
32208,120,China,1,175000000
32209,17,United States,13,7000000
32210,0,United States,1,
32212,0,United States,1,
32213,22,United States,14,9312000
32214,0,Chile,0,
32215,600,Canada,13,90000000
32217,10,United States,2,10000000
32218,0,United States,2,
32219,0,,17,7500000
32220,0,United States,2,
32221,770,United States,26,900000000
32222,0,Belgium,1,
32223,70,United States,0,4666000
32224,2,United States,4,
32225,58,United States,5,16559000
32226,89,United States,5,14012000
32227,30,United States,11,273000
32228,34,United States,5,6056000
32229,0,United States,3,
32230,0,,15,
32231,11,Portugal,14,
32232,0,United States,0,
32233,36,United States,13,37500000
32234,6700,United States,13,82000000
32235,38,United States,4,10700000
32236,3600,United States,39,500000000
32237,0,,1,
32238,9,United States,3,46346000
32239,0,Brazil,8,
32240,310,United States,13,31251000
32241,18,United States,10,7000000
32242,53,United Kingdom,16,77592000
32243,480,United States,9,11000000
32244,9,United States,6,5000000
32245,40,United States,3,7000000
32246,0,Denmark,3,
32247,58,United Kingdom,9,2600000
32249,4,United States,5,1400000
32250,0,,12,
32251,16,Brazil,6,7121000
32253,680,United States,0,4117340000
32254,0,,0,
32255,37,United States,30,25000000
32256,14,United States,3,19149000
32258,110,France,12,32000000
32259,2,United States,3,7000000
32260,14,United States,13,3517000
32261,11,United States,5,1546900000
32262,0,,7,
32263,220,United States,2,16600000
32264,36,Germany,15,4420000
32265,22,United States,11,6000000
32266,24,United States,11,531000
32267,150,United Kingdom,6,2607000
32268,46,Ecuador,14,
32269,43,United States,12,7000000
32270,2,United Kingdom,5,7000000
32271,3,United States,4,2298000
32272,14,India,5,485000
32273,65,United States,8,11933000
32274,920,United States,20,64000000
32275,1500,United States,11,350000000
32276,81,United States,0,
32277,44,India,0,4414000
32278,6,Germany,20,
32279,0,Japan,5,
32280,50,India,1,1000000
32281,23,Israel,0,10000000
32282,2,Australia,8,
32283,28,United States,1,20000000
32284,10,India,2,
32285,0,Chile,1,
32286,41,United States,5,5000000
32287,15,United States,18,23726000
32288,0,United States,5,2400000
32290,0,United States,0,
32291,0,Switzerland,2,
32292,110,United States,20,6000000
32293,13,Finland,17,5000000
32294,5,United States,10,1100000
32295,20,United States,8,
32296,0,,4,
32297,34,United States,10,12500000
32298,0,United States,0,2400000
32299,53,United States,4,14343000
32300,0,United States,0,
32301,0,Thailand,9,
32302,3200,United States,21,480999000
32303,5,United States,5,9800000
32304,0,India,2,
32305,0,,3,
32306,35,United States,0,5857000
32307,5200,United States,76,48000000
32309,50,United States,4,10650000
32310,77,United States,0,15231000
32311,15,Israel,1,
32312,0,United States,0,
32313,2,Ukraine,8,
32314,86,Israel,10,21763000
32315,42,United States,17,2670000
32316,10,Germany,17,5500000
32318,20,Ireland,1,10000000
32319,14,United States,5,
32320,150,China,1,4000000
32321,17,Canada,9,
32322,27,Spain,6,7000000
32323,0,United States,1,3000000
32324,250,United States,11,4146000
32326,26,Canada,6,1821000
32327,3,United States,11,15671000
32328,4300,United States,22,1911191000
32330,6,United States,3,5387000
32331,0,United States,1,
32332,65,United States,10,7500000
32333,5,United Kingdom,9,2000000
32334,3,Denmark,0,
32336,2,United States,2,
32337,61,United States,20,6000000
32339,26,United States,3,5195000
32340,1,Colombia,8,
32341,5,United States,16,6500000
32343,19,United States,1,3152000
32344,6,United States,14,6000000
32345,34,Spain,11,557000
32346,15,United States,4,400000
32347,0,United States,0,
32348,210,United States,28,40000000
32349,34,United States,23,20000000
32350,0,Canada,8,
32351,3,United States,2,
32352,0,,43,
32353,18,United States,3,28047000
32355,4,United States,3,7000000
32356,2,United States,4,16608000
32357,6,United States,4,3619000
32358,0,United States,9,
32359,190,United States,30,17000000
32360,8,United States,23,4625000
32361,3,United States,11,3287000
32362,0,United States,1,2400000
32363,4,United States,31,6216000
32364,39,United States,8,10970000
32365,290,United States,7,120000000
32366,240,France,8,4229000
32367,17,United States,16,2929000
32368,85,United States,1,10638000
32369,2,Spain,9,2713000
32370,3,United States,8,2953000
32371,11,United States,14,25000000
32372,16,United States,4,13000000
32373,4,United States,4,1400000
32374,14,United States,13,2400000
32375,5,United States,4,3104000
32376,31,United Kingdom,21,388000
32377,25,Canada,11,6000000
32378,75,United States,0,10306000
32379,28,United States,7,310000
32380,0,,8,
32381,61,India,4,3000000
32382,2,United States,10,3200000
32383,3,Ireland,11,6000000
32384,15,Israel,4,4623000
32385,2,India,1,5341000
32386,8,Switzerland,6,
32387,140,United States,8,4319000
32388,3,United States,1,2000000
32389,1,Brazil,7,
32390,0,United States,3,
32391,0,Ireland,0,2400000
32392,12,United States,2,1555000
32393,3,United States,5,
32394,2,Finland,5,
32395,0,Denmark,0,1400000
32396,1,Brazil,0,
32397,17,United States,2,2300000
32398,10,Israel,4,2187000
32400,78,United States,1,15927000
32401,0,United States,0,
32402,47,United States,0,2029000
32403,2,Australia,19,344000
32404,4,,3,
32405,0,China,3,
32406,0,United Kingdom,0,
32407,7,China,3,
32408,0,Chile,4,
32409,8,Canada,0,
32410,48,United States,4,11970000
32411,28,Netherlands,6,7952000
32412,0,United States,7,
32413,0,China,4,
32414,1,United Kingdom,3,
32415,20,Thailand,3,2710000
32416,0,Taiwan,6,
32417,0,United States,0,1400000
32418,1,United States,1,730000
32419,0,,3,
32420,15,United States,26,4200000
32421,17,Ireland,14,3072000
32423,0,United States,0,2400000
32424,2,United Arab Emirates,3,316000
32425,8,United States,4,384000
32426,0,Australia,0,
32427,0,United States,0,
32428,16,United States,5,76100000
32429,0,Spain,6,
32430,0,United States,3,
32422,2,United States,6,8000000
32431,34,United States,10,5264000
32434,18,Germany,24,7200000
32435,0,Spain,0,
32436,0,Japan,7,
32437,130,India,0,4473000
32438,690,United States,34,25000000
32439,0,Germany,4,
32440,3,United States,22,6000000
32441,0,United States,0,3000000
32442,1,United States,1,1400000
32443,5,Denmark,10,1177000
32444,110,United States,1,16325000
32445,3,United States,18,10000000
32446,13,United States,5,4427000
32447,330,Italy,19,382118000
32448,35,Singapore,15,7871000
32449,3,United States,9,
32450,281000,United States,147,258000000
32451,9,United States,18,2200000
32452,360,United States,4,95000000
32453,2,China,10,2400000
32454,30,Germany,12,107000
32455,10,United States,0,10000000
32456,0,United States,8,7500000
32457,0,Poland,0,
32458,470,China,4,8000000
32459,270,China,0,50000000
32460,190,United States,9,44143000
32461,2,Brazil,0,360000
32462,6,China,8,
32463,180,China,9,3100000
32464,580,China,2,
32465,22000,United States,8,18100000000
32466,0,,1,
32467,9,China,1,
32468,6,China,1,10000000
32469,0,China,1,
32470,17,China,1,
32471,230,China,3,
32472,390,France,9,16700000
32473,3,Germany,3,
32474,0,,0,
32475,9,Austria,0,786000
32476,1,Germany,9,
32477,280,Hong Kong,20,139936000
32478,34000,China,3,23544954000
32479,0,,5,
32480,700,China,7,208400000
32481,9,Mexico,15,3800000
32482,450,Canada,25,28251000
32483,56,United States,10,235000
32484,5,Turkey,2,501000
32485,5,Turkey,3,
32486,41,Finland,11,5700000
32487,50,,0,5257000
32488,26,United States,10,7505000
32489,14,United States,5,18500000
32490,29,United States,0,3796000
32491,20,United States,4,2400000
32492,34,United States,24,
32493,84,United States,5,3180000
32495,12,France,8,8280000
32496,58,South Africa,24,117000
32497,140,United States,12,79268000
32498,22,United States,12,9928000
32499,8,United States,5,2970000
32500,0,United States,5,
32502,3,United States,8,
32503,480,Brazil,20,10000000
32504,1200,United States,34,1300000000
32505,9,United States,7,
32506,20,United States,1,4420000
32507,40,United Arab Emirates,21,2000000
32508,0,United States,0,6800000
32509,0,Finland,13,
32511,0,United States,14,2400000
32512,36,United States,4,2010000
32513,0,Ukraine,4,
32514,1,China,4,
32515,0,United States,0,
32516,4,,23,379000
32517,6,France,14,5658000
32518,3,United States,14,6000000
32519,0,United States,0,
32520,430,United States,9,25297000
32521,18,United States,32,3809000
32522,3,Ireland,2,
32523,55,United States,31,6500000
32524,14,United States,8,
32525,80,China,2,14375000
32526,44,United Kingdom,16,5945000
32527,0,Singapore,5,
32528,0,United States,0,
32529,2,Brazil,2,
32530,3,,2,
32531,240,United States,15,30000000
32532,140,Israel,15,5000000
32533,210,Brazil,26,1000000
32534,41,United States,2,24888000
32535,85,United States,1,21699000
32536,85,United States,15,4355000
32537,13,Italy,0,194000
32538,2,United States,5,2400000
32539,49,United States,5,3100000
32540,2,United States,11,15663000
32541,0,Norway,4,
32542,27,Norway,2,4256000
32543,8,United States,11,371000
32544,12,Switzerland,6,2300000
32545,0,Belgium,0,
32546,10,France,12,2500000
32547,1,United States,3,3500000
32548,2,United States,0,4270000
32549,1,United States,4,1400000
32550,6,Switzerland,15,
32551,3,Italy,18,4912000
32552,2,Germany,18,18000000
32553,0,United States,1,1400000
32555,17000,United States,17,5483376000
32556,23,Taiwan,1,35000000
32557,48,United States,1,8535000
32558,0,United States,0,
32559,0,United States,0,11000000
32560,0,,1,1400000
32561,0,United Kingdom,0,
32562,7,United States,6,24282000
32563,0,,1,
32564,79,United Kingdom,21,11437000
32565,0,,0,2400000
32566,160,United States,6,52716000
32568,4,United States,1,74000
32569,64,United States,9,1500000
32570,8,United Kingdom,4,
32571,1,United States,1,
32572,0,Spain,0,
32573,0,United States,0,
32574,27,United States,5,4387000
32575,6,,5,
32576,3,Spain,3,
32577,49,United States,4,
32578,100,Mexico,16,
32579,140,United Kingdom,21,12000000
32580,1300,Switzerland,22,100200000
32581,0,United States,8,
32582,7,Finland,6,20000000
32583,70,China,5,
32584,0,United States,0,
32585,5,United States,15,4500000
32586,1,India,1,
32587,120,United Kingdom,12,17631000
32588,360,United States,25,75000000
32589,140,France,2,5180000
32590,2,United States,3,5000000
32591,33,Italy,9,
32592,4,United States,32,6000000
32593,500,Colombia,24,2805000
32594,11,Germany,5,553000
32595,0,France,4,
32596,2,Brazil,12,
32597,10,United States,6,2070000
32598,8,Germany,6,35000000
32599,6,United States,22,2000000
32600,250,Sweden,12,17000000
32601,39,Canada,4,3393000
32602,91,France,15,6500000
32603,120,United Kingdom,19,9175000
32604,36,United States,1,3674000
32605,17,United States,15,11138000
32606,54,United States,5,4196000
32607,27,United States,25,1824000
32608,10,United States,0,1400000
32609,0,Israel,2,17500000
32610,32,Armenia,8,73200000
32611,3,United Kingdom,3,2400000
32612,1,Canada,4,
32613,0,United States,9,
32614,4,United States,11,10000000
32615,1,Finland,21,
32616,2,United Kingdom,0,7000000
32617,89,United States,5,4420000
32618,17,Ghana,26,4600000
32619,120,United States,28,12000000
32620,88,India,28,6178000
32621,37,India,31,2500000
32622,1,United Kingdom,0,
32623,46,Colombia,3,
32624,16,Argentina,6,384000
32625,700,Brazil,6,96000
32626,560,Brazil,7,30409000
32627,0,United Kingdom,1,
32628,150,United States,5,19157000
32631,0,,13,
32632,390,Germany,13,280000000
32633,180,United States,37,4200000
32634,15,United States,9,10000000
32635,71,United States,23,11000000
32636,55,United Kingdom,12,4000000
32638,0,United States,3,
32639,3,United States,0,
32640,24,United States,1,2338000
32641,100,United States,20,5062000
32642,37,United States,3,8388000
32643,8,United States,1,5000000
32644,3,United States,1,
32645,21,United States,11,3500000
32646,2,Canada,5,3544000
32647,0,United States,5,
32648,2,United States,6,20193000
32649,1,United States,1,2400000
32650,34,United States,7,3139000
32652,60,Austria,3,5718000
32653,0,United States,2,
32654,0,United States,0,
32655,900,United States,19,120046000
32656,110,Brazil,11,8400000
32657,0,Chile,5,
32658,1,United States,9,2000000
32660,7,United States,8,
32661,0,United States,0,
32662,0,United States,1,1400000
32663,10,Germany,1,10000000
32664,0,Netherlands,2,
32665,0,Rwanda,1,
32666,2,United States,16,500000
32668,0,United States,5,2000000
32669,0,,16,6000000
32670,120,United States,0,33328000
32671,0,,3,13500000
32672,89,United States,4,9746000
32673,310,United States,9,568678000
32674,47,United States,5,12243000
32675,1,,14,383000
32676,0,United States,0,
32677,10,United Kingdom,11,10000000
32678,640,India,26,60000000
32679,8,Italy,18,
32680,650,Australia,21,2770000000
32681,1,United States,3,3140000
32682,0,France,0,
32683,6000,United States,28,1100000000
32684,4,Russia,2,202000
32685,0,,0,
32686,8,Australia,4,2400000
32687,10,United Kingdom,9,7000000
32688,0,United States,0,2000000
32689,10,Germany,2,3000000
32690,5,South Korea,4,
32691,59,Argentina,1,1079000
32692,160,United States,15,91000000
32694,0,United States,5,
32695,210,United States,6,43000
32696,1,Russia,12,
32697,0,Turkey,1,
32698,160,United States,23,12000000
32700,300,United States,3,104874000
32701,190,Netherlands,15,43414000
32702,450,Denmark,3,4800000
32704,43,Finland,15,
32705,2300,United States,9,431904000
32706,150,Brazil,15,1283000
32707,98,South Korea,4,21137000
32708,5,United States,6,2499000
32710,3,Portugal,4,
32711,54,United States,7,1000000
32712,28,United States,18,8500000
32713,0,Finland,8,
32714,0,United States,1,2000000
32715,1,United States,1,7199000
32716,79,Slovenia,11,3139000
32717,51,Singapore,5,6334000
32718,0,,2,
32719,8,France,4,3491000
32720,0,,0,
32721,6,United States,4,4616000
32722,11,United States,3,6000000
32723,5,China,4,2400000
32725,130,United States,6,3623000
32726,270,United States,10,17321000
32727,0,United Kingdom,5,
32728,190,United States,146,10000000
32729,0,United States,0,
32730,87,United States,17,10000000
32731,8,United States,2,1800000
32733,0,United Kingdom,0,2400000
32734,5,United States,9,
32735,16,United States,9,
32739,10,United States,1,3000000
32740,6,United States,14,4097000
32741,0,United States,9,1000000
32742,45,Australia,16,
32743,0,United States,3,
32745,0,Canada,1,1400000
32746,0,Russia,0,
32747,90,United States,10,17000000
32748,45,France,2,3071000
32749,13,United States,2,6000000
32751,16,Ireland,15,4000000
32752,63,Germany,0,5600000
32753,0,United States,1,
32754,250,United States,14,40000000
32755,17,United States,20,3000000
32757,260,United States,13,20939000
32758,22,United States,14,2400000
32759,4,United States,12,634000
32760,30,United States,0,5000000
32761,2,United States,12,4500000
32762,83,United States,28,9500000
32763,2,Denmark,4,1400000
32764,26,United States,12,1450000
32766,7,Bermuda,10,10000000
32767,23,United States,15,26835000
32768,0,United States,0,
32769,10,Canada,0,1400000
32770,0,Australia,1,
32771,11,Israel,4,
32772,2,United Kingdom,6,6000000
32773,710,United States,9,320000000
32774,2,United States,4,6000000
32775,17,United Kingdom,14,5000000
32776,0,United States,9,
32777,7,United States,12,10000000
32778,86,United States,3,5000000
32779,0,United States,6,
32780,3,Israel,1,1400000
32781,14,United States,2,
32782,17,United States,4,10000000
32783,22,United States,10,14000000
32784,3,United States,20,12800000
32785,0,United States,5,
32786,96,Canada,14,2141000
32787,0,United States,0,
32788,0,United States,1,7000000
32789,120,Brazil,9,
32790,5,United States,27,3500000
32791,4,United States,4,15000000
32792,24,Ukraine,7,
32793,40,United States,3,7000000
32794,0,United States,5,
32795,0,China,7,
32796,6,India,0,
32797,350,United Kingdom,19,46380000
32798,92,United States,1,11570000
32799,25,United States,18,3000000
32800,75,Japan,27,3195000
32801,0,United States,1,1400000
32802,8,Singapore,12,
32803,0,United States,2,2400000
32804,1,Australia,0,
32806,2,United States,3,23000
32807,0,United States,1,600000000
32808,260,United Kingdom,25,219099000
32809,14,United States,10,22823000
32810,49,United States,2,7624000
32811,60,United States,3,13812000
32812,2,China,9,23506000
32813,0,Germany,0,7000000
32814,6,United States,10,25000000
32815,5,Australia,3,
32816,21,Israel,8,7000000
32817,9,France,6,10000000
32818,4,Spain,7,24318000
32819,350,United States,20,2400000
32820,3,United States,5,6196000
32821,10,France,4,2200000
32822,4,United States,3,4443000
32823,0,United States,0,2400000
32824,3,United States,18,4621000
32825,2,United States,14,
32826,0,,8,
32827,0,United States,3,2000000
32828,70,Canada,19,453000
32829,140,United States,13,134700000
32830,160,Canada,0,21408000
32831,6,United States,7,2400000
32832,2,United States,13,2909000
32833,0,Israel,2,
32834,0,India,3,
32835,0,United States,6,
32836,8,Italy,14,1854000
32837,1,,6,7000000
32838,8,United Kingdom,6,
32839,88,United Kingdom,27,14213000
32840,3,Germany,3,1400000
32841,150,United States,17,11428000
32842,2,Turkey,0,
32843,0,United States,0,3000000
32844,16,United States,17,3958000
32845,10,United States,3,10000000
32846,2,United States,8,7500000
32847,3,Estonia,14,
32848,0,United States,1,
32849,0,United States,8,
32850,1600,United States,16,244500000
32851,5,Canada,22,2433000
32853,0,Canada,0,
32854,5,Spain,8,6513000
32855,5,Bulgaria,10,1800000
32856,9,Germany,11,122000
32857,1,United States,0,2000000
32858,860,Netherlands,19,83000000
32859,12,France,11,4000000
32860,420,Singapore,7,
32861,1,United States,9,
32862,2,United States,6,5684000
32863,0,United States,8,1400000
32864,5,Argentina,3,13999000
32865,33,United States,6,15368000
32866,18,United States,16,5953000
32867,340,United States,31,104897000
32869,740,United States,24,10000000000
32870,46,United States,9,6000000
32871,1800,India,28,162664000
32872,9,United States,10,4200000
32873,110,Spain,8,
32874,53,United States,8,38710000
32875,23,United States,9,2000000
32876,0,United States,1,
32877,31,Japan,4,
32878,12,Sweden,6,
32879,540,India,37,9500000
32880,6,United Kingdom,1,506000
32881,0,Brazil,0,
32882,130,United States,33,100000000
