index,employee_count,country,number_of_technologies,annual_rev
40001,6,United States,15,
40002,0,United Kingdom,0,
40003,19,United States,26,7315000.0
40004,7,Italy,19,
40005,3,United States,4,1000000.0
40006,14,Israel,10,
40007,0,,7,
40008,2,United States,7,1400000.0
40009,0,United States,2,
40010,86,United Kingdom,28,40100000.0
40011,0,United States,5,
40012,2,Netherlands,5,14381000.0
40013,10,China,3,600000000.0
40014,0,United Kingdom,1,2400000.0
40015,92,United States,21,2000000.0
40016,0,United States,1,6000000.0
40017,0,United States,0,
40018,0,United States,1,
40019,170,United States,32,14800000.0
40020,0,United States,11,
40030,42,United States,21,2674000.0
40022,2,United States,8,19257000.0
40023,11,United States,3,844000.0
40024,0,United States,0,
40025,0,Germany,0,2400000.0
40026,10,United States,1,10000000.0
40027,0,United States,0,
40028,130,United States,21,25000000.0
40029,0,,25,21800000.0
40021,0,Denmark,8,
40031,0,United States,1,7000000.0
40032,0,Russia,3,
40033,7,United States,9,
40034,30,United States,4,3000000.0
40035,4,United States,4,1400000.0
40036,0,United States,4,
40037,1700,United States,30,197021000.0
40038,4,United States,7,11012000.0
40039,10,United States,10,4048000.0
40040,0,,3,17500000.0
40045,0,,20,
40041,65,United States,10,11220000.0
40042,580,Vietnam,23,28098000.0
40043,130,United States,24,7260000.0
40044,9500,United States,17,2100000000.0
40047,0,United States,8,2400000.0
40048,0,United States,0,
40050,10,Brazil,6,
40046,0,United States,2,17500000.0
40051,17,United States,21,5605000.0
40052,4,United States,9,8427000.0
40053,20,United States,1,301000.0
40054,1,United States,7,7000000.0
40055,1,United States,1,7451000.0
40056,40,United States,12,23323000.0
40058,58,United States,12,172000.0
40059,510,United States,23,
40060,0,United States,5,
40064,4,United States,1,15654000.0
40061,2,United States,4,12626000.0
40062,16,United States,7,25161000.0
40063,97,United States,3,26690000.0
40066,12,United States,14,7000000.0
40068,1,United States,1,21711000.0
40069,75,United States,19,1500000.0
40070,35,United Kingdom,17,3000000.0
40067,65,United States,28,8000000.0
40071,0,United States,1,7000000.0
40072,100,Israel,11,14000000.0
40073,26,United States,0,21250000.0
40074,0,United States,0,
40075,6,United States,1,6000000.0
40076,0,,2,
40077,1,Japan,0,1400000.0
40078,0,United States,4,
40079,10,Israel,3,10000000.0
40080,21,Malaysia,7,
40081,38,United Kingdom,13,11300000.0
40082,0,United States,0,
40083,490,United States,35,19557000.0
40084,0,Japan,4,
40085,14,China,1,
40086,0,,0,
40087,57,United States,22,8000000.0
40088,0,United Kingdom,1,
40089,11,Finland,21,
40090,0,Russia,6,
40091,38,United States,18,8500000.0
40092,18,United States,28,6000000.0
40093,0,United States,7,6000000.0
40094,0,United States,0,
40095,210,Germany,25,98500000.0
40096,0,Germany,7,
40097,2,United States,3,7000000.0
40098,210,United States,12,7341000.0
40099,3,United States,5,35777000.0
40100,36,United States,9,3738000.0
40105,3,China,0,
40101,96,United States,3,21711000.0
40102,10,United States,3,10000000.0
40103,1,Canada,8,87000000.0
40104,0,Israel,3,
40107,1,United States,13,7000000.0
40108,59,United Kingdom,20,3000000.0
40109,120,Sweden,19,3913000.0
40110,2,United States,2,3760000.0
40106,140,United States,5,3389000.0
40111,29,United States,12,227000.0
40112,1,United States,1,
40113,0,Argentina,2,
40114,0,United States,4,
40115,4,United States,5,3871000.0
40116,428000,United States,12,378323000000.0
40117,0,United States,1,
40118,0,United States,1,1400000.0
40119,0,United States,7,
40120,61,India,5,10200000.0
40121,0,United States,5,2400000.0
40122,0,United States,1,2400000.0
40123,46,United Kingdom,9,4900000.0
40124,9,France,21,
40125,14,India,13,1050000.0
40126,0,Germany,1,
40127,390,India,17,9405000.0
40128,0,United States,0,
40129,0,United States,1,2400000.0
40130,0,,1,
40132,0,Barbados,4,1400000.0
40133,0,United States,1,2400000.0
40134,4,United States,2,6488000.0
40135,0,Philippines,0,
40136,35,United States,21,4100000.0
40137,13,United States,12,20000000.0
40138,250,United States,20,14800000.0
40139,0,,15,
40140,9,United States,18,7200000.0
40142,39,Greece,1,4850000.0
40141,6,Singapore,4,183000.0
40143,31,United Kingdom,9,10000000.0
40145,3,United States,2,6000000.0
40146,0,United States,4,
40147,9,China,4,
40148,10,United States,2,10000000.0
40149,1,United States,3,
40150,0,Canada,0,
40144,15,Finland,8,7000000.0
40151,150,Finland,12,28382000.0
40152,32,United States,4,5459000.0
40153,3,United States,10,6500000.0
40154,7,United States,8,345000.0
40155,0,Nigeria,0,
40156,230,United States,29,15457000.0
40157,1300,United States,13,100000000.0
40158,4,Germany,6,8800000.0
40159,0,India,4,35000000.0
40160,4,Brazil,6,
40161,33,United States,1,6690000.0
40162,290,Pakistan,11,
40163,24,United States,3,11944000.0
40164,0,United States,1,
40165,28,France,12,1400000.0
