index,employee_count,country,number_of_technologies,annual_rev
40167,7,Brazil,16,130000.0
40168,2,United States,1,
40169,0,United States,1,2000000.0
40170,91,Netherlands,8,39400000.0
40171,160,United Kingdom,12,35000000.0
40172,0,United States,1,
40173,0,United States,2,17500000.0
40174,68,United States,5,4119000.0
40175,0,United States,0,
40176,0,United States,1,
40177,5,Ireland,6,350000.0
40178,0,United States,0,
40179,150,United States,17,3000000.0
40180,32,United States,16,3128000.0
40182,1,Spain,5,527000.0
40181,0,United States,3,
40184,2,Colombia,0,
40185,1,Belgium,1,
40186,31,India,10,
40187,35,United States,3,1510000.0
40188,31,Australia,0,4089000.0
40189,4,United States,4,338000.0
40190,0,,9,
40183,26,United States,2,
40191,0,United States,7,2400000.0
40192,17,Taiwan,9,6000000.0
40193,13,United States,8,
40194,0,United States,10,14400000.0
40195,0,United States,0,
40197,18,United States,6,2000000.0
40198,34,,7,6197000.0
40199,3,United States,2,10000000.0
40200,34,United States,5,3907000.0
40202,10,United States,1,10000000.0
40203,10,United States,1,10000000.0
40204,0,Spain,1,
40205,26,United States,13,6000000.0
40206,3,Thailand,11,
40207,6,United States,10,
40208,2,United States,16,
40209,0,Spain,1,
40210,7,Argentina,0,407000.0
40211,3,Philippines,1,1400000.0
40212,280,Lithuania,15,33845000.0
40213,6,United States,4,50000.0
40214,50,United States,5,7485000.0
40215,16,Canada,18,3000000.0
40216,1,Germany,4,
40217,0,Netherlands,0,
40218,9,United States,6,895000.0
40219,0,Belgium,0,
40220,1,Mexico,1,
40221,0,Mexico,3,
40222,0,United States,3,2400000.0
40223,47,Malaysia,23,1987000.0
40224,4,Japan,0,10000000.0
40225,10,United Kingdom,3,10000000.0
40226,0,United States,5,
40227,0,Italy,3,
40228,1,United States,1,2400000.0
40230,29,France,8,3000000.0
40231,2,France,18,3960000.0
40232,0,Indonesia,2,
40234,3,United States,1,17366000.0
40235,3,United States,5,7000000.0
40236,860,United States,20,100000000.0
40237,88,United States,21,9500000.0
40238,23,United States,5,6000000.0
40239,10,France,7,469000.0
40240,1,Taiwan,2,
40241,38,Netherlands,5,6902000.0
40242,13,United Kingdom,14,12000.0
40244,8,United Kingdom,11,5330000.0
40245,0,Spain,0,
40246,0,United Kingdom,0,
40248,0,Poland,6,
40249,90,United States,16,2410000.0
40250,7,United States,2,2400000.0
40251,0,United States,1,
40252,1,,2,484000.0
40253,270,United Kingdom,18,15000000.0
40254,0,United States,4,
40255,3,Italy,28,
40256,0,United Kingdom,4,2400000.0
40257,0,United States,1,2400000.0
40258,69000,China,7,211681600000.0
40259,8,Norway,11,7000000.0
40260,47,India,12,6339000.0
40261,1,United States,6,
40262,1400,United States,36,299449000.0
40263,6,United States,16,7389000.0
40264,35,United States,15,19200000.0
40265,14,Australia,9,7000000.0
40266,120,United States,16,11200000.0
40267,20,United States,12,
40268,2,Canada,2,2400000.0
40269,0,United States,3,
40270,3,United States,18,7875000.0
40280,2,Luxembourg,5,7400000.0
40271,0,United Kingdom,0,
40274,6,Mexico,1,153000.0
40275,64,United States,1,6157000.0
40276,18,United States,5,4000000.0
40277,12,United Kingdom,1,2400000.0
40273,0,Sweden,0,
40281,0,United Kingdom,2,
40283,0,Germany,0,
40285,0,Australia,7,6000000.0
40286,0,United States,5,2400000.0
40287,1,United Kingdom,7,2400000.0
40301,0,United States,0,
40302,33,United States,5,2000000.0
40303,16,United States,7,4500000.0
40304,5,United States,7,31059000.0
40305,64,United States,5,16263000.0
40306,200,United States,14,35000000.0
40307,170,United States,4,6000000.0
40308,7,United States,12,1000000.0
40309,0,United States,8,
40310,0,Singapore,0,
40311,10,Philippines,11,10000000.0
40312,18,Lebanon,5,344000.0
40313,43,United States,5,17513000.0
40315,3,United States,1,7000000.0
40316,13,United States,24,1677000.0
40317,8,United States,10,1000000.0
40318,0,United States,2,
40319,2,Canada,18,2655000.0
40320,0,United States,4,
40321,0,,3,
40322,0,South Korea,0,
40323,60,United States,17,16764000.0
40324,10,Finland,8,2932000.0
40325,1,United States,6,
40326,0,United States,1,2000000.0
40327,6000,United States,26,2436989000.0
40328,0,United States,0,
40329,0,United States,1,
40330,0,United States,9,1400000.0
