company_permalink,company_name,homepage_url,company_category_list,funding_total_usd,status,company_country_code,company_city,funding_rounds,founded_at,first_funding_at,last_funding_at,time_before_first_fund,employee_count,country,number_of_technologies,revenue
/organization/100health,Redox,http://www.redoxengine.com,Health Care|Health Care Information Technology|Hospitals,4000000.0,operating,USA,Madison,2,2014-07-04 00:00:00.000000000,2014-11-26,2015-10-20,145 days 00:00:00,240,United States,23,13700000
/organization/100plus,100Plus,http://www.100plus.com,Analytics,1250000.0,acquired,USA,San Francisco,2,2011-09-16 00:00:00.000000000,2011-11-02,2011-11-30,47 days 00:00:00,51,United States,19,7000000
/organization/1010data,1010data,http://www.1010data.com,Software,35000000.0,acquired,USA,New York,1,2000-01-01 00:00:00.000000000,2010-03-08,2010-03-08,3719 days 00:00:00,210,United States,21,63196000
/organization/10alike,Cliptone,http://www.cliptone.me/,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,0.0,operating,CAN,Toronto,2,2012-03-03 00:00:00.000000000,2013-01-01,2014-01-01,304 days 00:00:00,0,Canada,3,-
/organization/10bestthings,10BestThings,http://10bestthings.com,Curated Web,50000.0,closed,USA,Cleveland,1,2009-04-01 00:00:00.000000000,2009-04-01,2009-04-01,0 days 00:00:00,0,United States,3,-
/organization/10k-2,Beans Around,http://beansaround.com/,Coffee|Delivery|Subscription Service,100000.0,operating,missing,missing,1,2015-04-01 00:00:00.000000000,2015-09-04,2015-09-04,156 days 00:00:00,0,-,3,-
/organization/10sec,10sec,https://10s.ec/,E-Commerce|Mobile Commerce|Social Commerce,1600000.0,operating,USA,San Francisco,2,2013-07-08 00:00:00.000000000,2013-10-31,2014-05-08,115 days 00:00:00,26,Israel,5,-
/organization/10seconds-software,10seconds Software,http://www.10secondsSoftware.com,Enterprise Software|Mobility|Software,100000.0,operating,AUS,Sydney,1,2009-07-01 00:00:00.000000000,2010-07-01,2010-07-01,365 days 00:00:00,2,Australia,10,-
/organization/10six,10Six,http://10sixenergy.com,Batteries|Electronics|Energy,0.0,operating,USA,New York,1,2010-05-09 20:46:43.240577680,2014-02-01,2014-02-01,1363 days 03:13:16.759422320,0,United States,3,-
/organization/10tracks-2,10tracks,http://10tracks.com,iOS|Mobile|Music,0.0,operating,missing,missing,2,2012-01-01 00:00:00.000000000,2013-07-31,2014-02-03,577 days 00:00:00,3,Russia,4,-
