index,employee_count,country,number_of_technologies,annual_rev
30129,0,United States,1,
30130,57,United States,3,4145000.0
30131,0,United States,6,2000000.0
30132,0,United States,4,
30133,7,United States,31,1000000.0
30134,0,United States,2,1400000.0
30135,23,United States,29,8232000.0
30136,0,Greece,1,
30137,0,,30,
30138,0,United States,2,
30139,2,United States,23,
30140,0,,2,
30141,0,United States,8,
30142,17,United States,5,7000000.0
30143,4,United States,5,1000000.0
30144,0,,3,
30145,15,United States,20,10200000.0
30146,4,United States,3,6000000.0
30147,3,United States,1,
30148,0,United States,9,
30149,1,Singapore,11,
30150,310,United States,12,58750000.0
30151,54,United States,19,2400000.0
30152,10,United States,10,11695000.0
30153,6,United States,17,
30154,98,United States,5,14336000.0
30155,0,United States,21,75000000.0
30156,0,United States,10,4200000.0
30157,190,United States,33,15000000.0
30158,5,United States,9,3028000.0
30159,140,Russia,25,5082000.0
30160,0,India,7,
30162,2,United States,8,2500000.0
30161,1,Chile,0,
30164,4,United States,3,6000000.0
30165,0,United States,20,
30166,1,United Kingdom,0,
30167,2,United States,4,12000000.0
30168,5,United States,2,
30169,2,India,8,4420000.0
30170,130,United States,4,28407000.0
30163,32,Germany,4,
30171,72,United States,19,4526000.0
30172,5,United States,15,3076000.0
30173,0,Germany,2,
30174,4,United States,11,6609000.0
30175,0,United States,0,
30176,0,United States,5,2000000.0
30177,91,United Kingdom,7,5443000.0
30178,170,United States,5,4420000.0
30179,14,United States,19,2000000.0
30180,0,,3,
30181,7,India,10,
30183,2,United States,0,4444000.0
30184,22,United States,3,3678000.0
30185,46,Singapore,11,
30186,280,China,10,149595000.0
30187,0,United States,1,
30188,29,China,0,8396000.0
30189,8,Ukraine,5,351000.0
30190,31,India,15,2399000.0
30191,9,Indonesia,0,
30193,88,United States,27,30700000.0
30194,8,United States,15,5000000.0
30195,2,Canada,6,10000000.0
30196,0,United States,3,
30197,0,United States,2,2400000.0
30198,2,Ireland,3,3200000.0
30199,0,United States,1,17500000.0
30200,6,United States,3,20448000.0
30201,0,Iceland,2,1400000.0
30202,0,United States,0,
30203,75,United States,10,63000000.0
30205,140,United States,19,36000000.0
30206,58,United States,7,5993000.0
30208,3,United States,6,6000000.0
30209,9,United States,25,4420000.0
30210,3,United States,6,
30211,4,Brazil,21,
30212,61,United States,1,19720000.0
30213,0,Spain,2,
30214,38,United States,11,12364000.0
30215,99,United States,10,272981000.0
30217,0,United States,29,2400000.0
30218,2,United States,0,
30219,15,United States,14,5000000.0
30220,43,United States,16,15000000.0
30224,44,United States,0,7564000.0
30221,0,United States,0,7000000.0
30222,19,United States,2,2352000.0
30223,2,United States,3,
30226,270,United States,21,48500000.0
30227,0,,2,
30228,12,United States,12,405860000.0
30229,9,United States,7,6311000.0
30230,0,,0,
30225,16,Taiwan,32,
30239,0,United States,3,
30231,3,Canada,5,151000.0
30232,6,Australia,10,
30233,6,United States,15,477000.0
30234,40,United States,5,14000000.0
30235,31,United States,0,3160000.0
30236,110,United States,4,20329000.0
30237,5,United States,3,1000000.0
30238,12,United States,1,5000000.0
30240,0,Romania,4,
30241,1,Russia,15,2000000.0
30242,0,Spain,7,
30243,50,United States,5,6700000.0
30244,40,United States,3,500000.0
30245,0,United States,6,
30247,3,United States,10,2376000.0
30248,1,United States,0,
30249,4,United States,18,6100000.0
30250,24,United States,2,17524000.0
30251,0,Brazil,0,
30252,2,Netherlands,12,
30253,1600,United States,12,80000000.0
30254,2100,United States,25,447948000.0
30255,11,United States,21,4371000.0
30256,3,United States,7,
30257,50,United States,0,92404000.0
30258,1500,United States,35,443026000.0
30259,0,United States,14,
30260,3,United States,3,475000.0
30261,2,Finland,13,
30262,0,United States,0,
30263,5,,13,393000.0
30264,0,United States,2,
30265,7,India,1,514000.0
30266,15,United States,24,7499000.0
30268,20,United States,13,8125000.0
30269,6,United States,3,408000.0
30270,2,United States,16,373000.0
30271,3,United States,5,10000000.0
30272,14,Germany,7,
30273,4,United Kingdom,5,2200000.0
